------------------------------------------------------------------------
Starting new cryo hub execution. Date is 2021#9#9 10#50#22
ID: Leak debug, can only.
    Time                     Rad shield (K)           Cold head (K)               Pressure (Torr)
   ----                    ----------------         ---------------             -----------------
2021#9#9 10#50#31       |      291.85             |     294.54            |    0.00      
2021#9#9 10#50#33       |      291.85             |     294.54            |    0.00      
2021#9#9 10#50#45       |      291.85             |     294.54            |    0.00      
2021#9#9 10#50#47       |      291.85             |     294.54            |    0.00      
2021#9#9 10#51#0       |      291.85             |     294.54            |    0.00      
2021#9#9 10#51#2       |      291.85             |     294.54            |    0.00      
2021#9#9 10#51#14       |      291.85             |     294.54            |    0.00      
2021#9#9 10#51#16       |      291.85             |     294.54            |    0.00      
2021#9#9 10#51#29       |      291.85             |     294.54            |    0.00      
2021#9#9 10#51#31       |      291.85             |     294.54            |    0.00      
2021#9#9 10#51#43       |      291.85             |     294.54            |    0.00      
2021#9#9 10#51#45       |      291.85             |     294.54            |    0.00      
2021#9#9 10#51#58       |      291.85             |     294.54            |    0.00      
2021#9#9 10#52#0       |      291.85             |     294.54            |    0.00      
2021#9#9 10#52#13       |      291.85             |     294.54            |    0.00      
2021#9#9 10#52#15       |      291.85             |     294.54            |    0.00      
2021#9#9 10#52#27       |      291.85             |     294.54            |    0.00      
2021#9#9 10#52#29       |      291.85             |     294.54            |    0.00      
2021#9#9 10#52#42       |      291.85             |     294.54            |    0.00      
2021#9#9 10#52#44       |      291.85             |     294.54            |    0.00      
2021#9#9 10#52#56       |      291.85             |     294.54            |    0.00      
2021#9#9 10#52#58       |      291.85             |     294.54            |    0.00      
2021#9#9 10#53#11       |      291.85             |     294.55            |    0.00      
2021#9#9 10#53#13       |      291.85             |     294.55            |    0.00      
2021#9#9 10#53#26       |      291.85             |     294.55            |    0.00      
2021#9#9 10#53#28       |      291.85             |     294.55            |    0.00      
2021#9#9 10#53#40       |      291.85             |     294.55            |    0.00      
2021#9#9 10#53#42       |      291.86             |     294.55            |    0.00      
2021#9#9 10#53#55       |      291.86             |     294.55            |    0.00      
2021#9#9 10#53#57       |      291.85             |     294.55            |    0.00      
2021#9#9 10#54#9       |      291.86             |     294.55            |    0.00      
2021#9#9 10#54#11       |      291.86             |     294.55            |    0.00      
2021#9#9 10#54#24       |      291.86             |     294.55            |    0.00      
2021#9#9 10#54#26       |      291.85             |     294.55            |    0.00      
2021#9#9 10#54#38       |      291.85             |     294.55            |    0.00      
2021#9#9 10#54#40       |      291.85             |     294.55            |    0.00      
2021#9#9 10#54#53       |      291.84             |     294.56            |    0.00      
2021#9#9 10#54#55       |      291.84             |     294.56            |    0.00      
2021#9#9 10#55#8       |      291.83             |     294.56            |    0.00      
2021#9#9 10#55#10       |      291.83             |     294.56            |    0.00      
2021#9#9 10#55#22       |      291.80             |     294.55            |    0.00      
2021#9#9 10#55#24       |      291.80             |     294.55            |    0.00      
2021#9#9 10#55#37       |      291.76             |     294.53            |    0.00      
2021#9#9 10#55#39       |      291.74             |     294.52            |    0.00      
2021#9#9 10#55#51       |      291.68             |     294.48            |    0.00      
2021#9#9 10#55#53       |      291.66             |     294.47            |    0.00      
2021#9#9 10#56#5       |      291.56             |     294.40            |    0.00      
2021#9#9 10#56#7       |      291.55             |     294.39            |    0.00      
2021#9#9 10#56#20       |      291.40             |     294.27            |    0.00      
2021#9#9 10#56#22       |      291.38             |     294.25            |    0.00      
2021#9#9 10#56#34       |      291.19             |     294.08            |    0.00      
2021#9#9 10#56#36       |      291.16             |     294.05            |    0.00      
2021#9#9 10#56#49       |      290.92             |     293.82            |    0.00      
2021#9#9 10#56#51       |      290.88             |     293.77            |    0.00      
2021#9#9 10#57#4       |      290.59             |     293.46            |    0.00      
2021#9#9 10#57#6       |      290.54             |     293.40            |    0.00      
2021#9#9 10#57#18       |      290.20             |     293.02            |    0.00      
2021#9#9 10#57#20       |      290.14             |     292.95            |    0.00      
2021#9#9 10#57#32       |      289.73             |     292.45            |    0.00      
2021#9#9 10#57#34       |      289.65             |     292.36            |    0.00      
2021#9#9 10#57#46       |      289.20             |     291.78            |    0.00      
2021#9#9 10#57#48       |      289.11             |     291.68            |    0.00      
2021#9#9 10#58#0       |      288.58             |     290.99            |    0.00      
2021#9#9 10#58#2       |      288.49             |     290.87            |    0.00      
2021#9#9 10#58#15       |      287.84             |     290.00            |    0.00      
2021#9#9 10#58#17       |      287.72             |     289.86            |    0.00      
2021#9#9 10#58#29       |      287.04             |     288.90            |    0.00      
2021#9#9 10#58#31       |      286.91             |     288.72            |    0.00      
2021#9#9 10#58#43       |      286.14             |     287.62            |    0.00      
2021#9#9 10#58#45       |      285.99             |     287.43            |    0.00      
2021#9#9 10#58#57       |      285.08             |     286.16            |    0.00      
2021#9#9 10#58#59       |      284.92             |     285.92            |    0.00      
2021#9#9 10#59#11       |      283.97             |     284.49            |    0.00      
2021#9#9 10#59#13       |      283.80             |     284.25            |    0.00      
2021#9#9 10#59#25       |      282.68             |     282.56            |    0.00      
2021#9#9 10#59#27       |      282.50             |     282.27            |    0.00      
2021#9#9 10#59#40       |      281.28             |     280.38            |    0.00      
2021#9#9 10#59#42       |      281.08             |     280.07            |    0.00      
2021#9#9 10#59#55       |      279.84             |     278.02            |    0.00      
2021#9#9 10#59#57       |      279.63             |     277.69            |    0.00      
2021#9#9 11#0#9       |      278.29             |     275.50            |    0.00      
2021#9#9 11#0#11       |      278.08             |     275.15            |    0.00      
2021#9#9 11#0#24       |      276.62             |     272.86            |    0.00      
2021#9#9 11#0#26       |      276.38             |     272.45            |    0.00      
2021#9#9 11#0#38       |      274.81             |     269.96            |    0.00      
2021#9#9 11#0#40       |      274.54             |     269.52            |    0.00      
2021#9#9 11#0#53       |      272.75             |     266.76            |    0.00      
2021#9#9 11#0#55       |      272.43             |     266.29            |    0.00      
2021#9#9 11#1#8       |      270.34             |     263.08            |    0.00      
2021#9#9 11#1#10       |      270.01             |     262.54            |    0.00      
2021#9#9 11#1#21       |      267.80             |     259.13            |    0.00      
2021#9#9 11#1#24       |      267.38             |     258.43            |    0.00      
2021#9#9 11#1#35       |      265.19             |     253.69            |    0.00      
2021#9#9 11#1#38       |      264.90             |     253.01            |    0.00      
2021#9#9 11#1#49       |      262.91             |     248.88            |    0.00      
2021#9#9 11#1#51       |      262.57             |     248.16            |    0.00      
2021#9#9 11#2#3       |      260.52             |     243.79            |    0.00      
2021#9#9 11#2#6       |      260.13             |     242.98            |    0.00      
2021#9#9 11#2#17       |      257.98             |     238.25            |    0.00      
2021#9#9 11#2#19       |      257.56             |     237.33            |    0.00      
2021#9#9 11#2#31       |      255.49             |     232.50            |    0.00      
2021#9#9 11#2#33       |      255.13             |     231.70            |    0.00      
2021#9#9 11#2#46       |      252.75             |     226.41            |    0.00      
2021#9#9 11#2#48       |      252.45             |     225.64            |    0.00      
2021#9#9 11#3#0       |      251.31             |     222.28            |    0.00      
2021#9#9 11#3#2       |      251.07             |     221.76            |    0.00      
2021#9#9 11#3#14       |      249.78             |     219.13            |    0.00      
2021#9#9 11#3#16       |      249.55             |     218.71            |    0.00      
2021#9#9 11#3#28       |      247.92             |     215.87            |    0.00      
2021#9#9 11#3#30       |      247.63             |     215.29            |    0.00      
2021#9#9 11#3#42       |      246.09             |     211.86            |    0.00      
2021#9#9 11#3#44       |      245.86             |     211.34            |    0.00      
2021#9#9 11#3#56       |      244.48             |     208.65            |    0.00      
2021#9#9 11#3#58       |      244.23             |     208.24            |    0.00      
2021#9#9 11#4#10       |      242.78             |     205.72            |    0.00      
2021#9#9 11#4#12       |      242.54             |     205.24            |    0.00      
2021#9#9 11#4#24       |      241.14             |     202.53            |    0.00      
2021#9#9 11#4#26       |      240.89             |     202.09            |    0.00      
2021#9#9 11#4#38       |      239.25             |     198.82            |    0.00      
2021#9#9 11#4#40       |      239.04             |     198.28            |    0.00      
